fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
01/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,24.18,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
03/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,39.57,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
05/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,36.07,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
08/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,25.73,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
10/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,47.16,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
12/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,26.49,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
14/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,38.24,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
16/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,30.69,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
19/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,31.74,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
23/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,29.62,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
26/06/2011 12:00:00 a. m.,CAR,Bogotá-Mochuelo,Manual,4.530213886,-74.14221714,11,CUNDINAMARCA,11001,BOGOTÁ. D.C.,Fija,24,NO2,µg/m3,35.75,"{'latitude': '4.530213886', 'longitude': '-74.14221714'}"
